year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,total,average
1990,         ,         ,         ,         ,32.1,1,2.5,0,4,43.2,37.8,115.1,235.7,29.5
1991,154.5,119.9,126.6,14,0.7,5.4,0,         ,12.4,51.8,37.1,100.3,622.7,56.6
1992,57.5,30.3,30.5,21.8,0,0,0,17.5,11.7,29.7,156.5,108.6,464.1,38.7
1993,54.4,61.8,109.5,25.2,0,0,0,4,34.5,201.7,78.8,134.5,704.4,58.7
1994,147.8,106.7,25,18,0,0,0,5,7,62.2,44.4,138.6,554.7,46.2
1995,116.8,39,132,48.2,11.6,0,0,8.2,9.4,97,147,178.8,788,65.7
1996,157.6,240.2,42.6,68.4,16.6,2.8,0,18.2,2,84,90,176.2,898.6,74.9
1997,194,63.6,246.2,40,104,8.6,7.4,5.4,53.8,10.4,0.4,65.8,799.6,66.6
1998,232.6,80.6,32.4,14.4,0,0,0,0,5.8,50.6,173.4,162,751.8,62.7
1999,73.8,35,55.6,21.8,21.2,3.2,0.4,0,16.8,8.4,73.8,7.6,317.6,26.5
2000,51.8,302.4,115.2,35.6,18.8,0.8,1.2,4.2,35.2,62,97.4,96,820.6,68.4
2001,35.5,112.4,99.3,0,         ,0,0,0,12.4,115,41.4,25.2,441.2,40.1
2002,1,         ,         ,0.2,0.2,7.2,0,14.6,2,58.2,11.8,100.2,195.4,19.5
2003,107.8,68.6,51.4,1,0,11.6,0,2.4,5.2,44.8,36,34.6,363.4,30.3
2004,129.4,106.2,37.4,20.4,0.1,9.2,9.6,2.2,0,31.8,26.6,65.6,438.5,36.5
2005,69.8,91,113.2,68.2,0.4,0,0,0,0.8,33.6,86.8,64.6,528.4,44.0
2006,151.4,119,41.2,23.2,3.2,0,0.6,29.8,2.8,54.4,12.8,66.4,504.8,42.1
2007,83.8,10.8,0.4,36.4,0,15.2,0.2,0,33.4,113.2,78.4,90.4,462.2,38.5
2008,146.6,118.6,142,10.4,47.6,11.6,0,0,0,75.4,44.2,150.4,746.8,62.2
2009,212,6.8,62.8,4,13.8,15,3,7.8,10.2,24.8,66.4,186.8,613.4,51.1
2010,349,76.6,39,130,37.8,0.8,0,0,0,35.6,51.6,186.2,906.6,75.6
2011,111.2,82,157.6,27.8,22.8,46.4,0,3.2,2.2,40,0.2,83.8,577.2,48.1
2012,77,47.8,26.4,4.4,0.4,1.6,0,0,15,29,30.2,146.8,378.6,31.6
2013,59.4,43.4,26.8,62,5.6,0,0,1.8,4.4,78,104,83.6,469,39.1
2014,61,62.4,62,0,0,0,0,0,37,68.6,144.6,151.2,586.8,48.9
2015,148,91,81.6,37,1.2,1.6,20.6,10.6,46.8,12.4,45.2,108.2,604.2,50.4
2016,98,118.2,198.2,11.6,59.8,15.8,21,0,2.6,57,153,83.8,819,68.3
2017,203.6,214.4,36,32.2,19.8,0,4,0,0.4,117.4,127.2,168.8,923.8,77.0
2018,59.2,106.4,192,43.2,20.8,0,1.4,0,14.8,53.2,48,157.6,696.6,58.1
2019,209.8,170.8,15,118.4,0,0,0,0,6,1,93.4,         ,614.4,55.9
2020,9,0.2,0.8,0,0,0,0,0,2.8,198.8,98.2,58.2,368,30.7
2021,41,60.8,34,17.2,0.4,0,6.7,40.4,41.6,220.9,131.4,,594.4,54.0
2022,218.2,197.6,101,158.8,24.6,19,0.4,0,0,58.4,236.6,275.6,1290.2,107.5
2023,26.6,157,109,41.4,84.2,         ,         ,         ,9,         ,         ,         ,427.2,71.2